no,name,kor,eng,math,total,avg,rank,sdate
949,Ariela,11,20,10,41,13.6666666667,35,2024-03-13
950,Husain,71,55,99,225,75,29,2024-07-25
951,Eberto,75,1,73,149,49.6666666667,40,2024-06-19
952,Kendrick,21,41,86,148,49.3333333333,52,2024-08-04
953,Liuka,83,21,48,152,50.6666666667,75,2024-07-07
954,Rriocard,2,76,4,82,27.3333333333,52,2023-12-10
955,Beale,14,74,29,117,39,29,2024-09-20
956,Samaria,23,92,39,154,51.3333333333,35,2024-08-25
957,Eamon,76,61,1,138,46,7,2024-08-29
958,Florrie,70,41,85,196,65.3333333333,84,2024-07-25
959,Gustie,71,28,63,162,54,48,2023-12-20
960,Allie,8,80,88,176,58.6666666667,95,2024-10-19
961,Giffer,93,100,67,260,86.6666666667,85,2024-05-10
962,Vallie,92,5,76,173,57.6666666667,1,2024-06-23
963,Maynord,69,50,99,218,72.6666666667,90,2024-04-21
964,Arlinda,80,82,30,192,64,54,2024-03-27
965,Lenci,59,35,87,181,60.3333333333,67,2024-11-02
966,Raleigh,99,51,30,180,60,83,2024-05-20
967,Darnell,72,31,19,122,40.6666666667,34,2024-01-26
968,June,79,12,52,143,47.6666666667,10,2023-11-12
969,Judie,35,13,80,128,42.6666666667,77,2024-07-31
970,Mignon,58,29,64,151,50.3333333333,97,2024-03-17
971,Smitty,80,41,3,124,41.3333333333,19,2024-05-25
972,Hester,18,60,35,113,37.6666666667,67,2024-01-11
973,Romola,45,35,25,105,35,65,2024-03-25
974,Laurella,93,64,34,191,63.6666666667,43,2023-12-20
975,Elspeth,29,65,72,166,55.3333333333,24,2024-10-30
976,Grange,85,97,51,233,77.6666666667,32,2024-06-23
977,Randie,66,53,84,203,67.6666666667,27,2024-04-30
978,Fabiano,68,38,36,142,47.3333333333,27,2023-12-22
979,Normand,93,55,48,196,65.3333333333,55,2023-12-17
980,Marco,72,59,4,135,45,29,2024-08-27
981,Demetrius,60,24,55,139,46.3333333333,60,2024-01-01
982,Kiel,16,77,86,179,59.6666666667,67,2023-12-26
983,Geno,35,27,15,77,25.6666666667,85,2024-09-12
984,Zach,77,65,25,167,55.6666666667,55,2023-11-25
985,Adan,66,67,11,144,48,100,2023-11-28
986,Rosemary,72,90,80,242,80.6666666667,56,2024-10-03
987,Syd,76,55,96,227,75.6666666667,65,2024-01-25
988,Waylan,55,96,44,195,65,22,2023-11-07
989,Lotte,27,8,14,49,16.3333333333,22,2024-04-10
990,Erna,18,49,32,99,33,31,2023-12-05
991,Juieta,24,32,22,78,26,65,2024-03-15
992,Durand,1,36,52,89,29.6666666667,48,2024-10-19
993,Uta,100,92,40,232,77.3333333333,39,2024-07-29
994,Jennine,15,74,76,165,55,21,2024-03-19
995,Larissa,18,35,65,118,39.3333333333,86,2024-08-25
996,Jenna,12,17,44,73,24.3333333333,40,2024-05-09
997,Hebert,89,48,78,215,71.6666666667,98,2024-04-18
998,Cathee,41,21,18,80,26.6666666667,95,2024-07-19
999,Olenolin,38,72,72,182,60.6666666667,84,2024-10-21
1000,Marten,92,48,60,200,66.6666666667,65,2024-09-13
